year,month,"co2, total","consumption, fossil fuel","consumption, nuclear","consumption, primary","consumption, renewable",gdp chained,"production, fossil fuel","production, nuclear","production, primary","production, renewable"
2012,10,1296.317,19.002034,2.03142,23.140725,2.062368,15384.3,15.837562,2.03142,19.922075,2.0530939999999998
2013,1,1395.54,20.762686000000002,2.0591,25.11177,2.250596,15491.9,15.835907,2.0591,20.148795,2.253787
2013,4,1314.7949999999998,19.630753,1.893334,23.893300999999997,2.325373,15521.6,15.439513999999999,1.893334,19.651758,2.31891
2013,7,1297.079,18.903258,2.087888,23.579676999999997,2.5325740000000003,15641.3,16.111614,2.087888,20.724224,2.524721
2013,10,1305.208,19.123208,2.093215,23.492981,2.223931,15793.9,16.500791,2.093215,20.798782999999997,2.204775
2014,1,1477.8619999999999,22.134984,2.189084,26.764854,2.396204,15757.6,16.403056,2.189084,20.993772,2.401632
2014,4,1352.757,20.113376,1.8974779999999998,24.488655,2.4428479999999997,15935.8,16.552831,1.8974779999999998,20.900235000000002,2.4499259999999996
2014,7,1298.9370000000001,18.896776,2.123447,23.634085,2.565138,16139.5,17.439287,2.123447,22.134179,2.571444
2014,10,1304.812,19.164838,2.1028260000000003,23.586185,2.265621,16220.2,18.008124000000002,2.1028260000000003,22.374479,2.263529
2015,1,1430.481,21.542364,2.2253149999999997,26.274041,2.457843,16350.0,18.144136,2.2253149999999997,22.849888,2.480436
2015,4,1323.9160000000002,20.042541999999997,1.9639360000000001,24.495654000000002,2.4350959999999997,16460.9,17.386799,1.9639360000000001,21.793238,2.442502
2015,7,1304.452,19.296197,2.1517850000000003,23.955987999999998,2.445452,16527.6,17.434720000000002,2.1517850000000003,22.024264,2.437759
2015,10,1283.234,19.129646,2.085981,23.597175,2.323622,16547.6,17.944569,2.085981,22.340451,2.309902
2016,1,1327.676,20.354619,2.117006,25.087145,2.559486,16571.6,16.924772,2.117006,21.626775000000002,2.584996
2016,4,1226.615,18.886685999999997,2.034472,23.643264,2.673412,16663.5,15.932351,2.034472,20.663655000000002,2.69683
2016,7,1274.2820000000002,19.131206,2.134695,23.952314,2.623535,16778.1,16.251261,2.134695,21.015921,2.629965
2016,10,1294.103,19.344535,2.0678270000000003,23.909772999999998,2.440118,16851.4,16.642803,2.0678270000000003,21.155633,2.445001
2017,1,1369.789,20.820757999999998,2.19599,25.747186,2.671027,16903.2,16.625131,2.19599,21.523741,2.702619
2017,4,1215.585,18.637152999999998,1.939067,23.491092,2.8655239999999997,17031.1,16.319906,1.939067,21.156485,2.897513
